ts,protons_gt_1MeV,protons_gt_5MeV,protons_gt_10MeV,protons_gt_30MeV,protons_gt_50MeV,protons_gt_100MeV,electrons_gt_0_8MeV,electrons_gt_2_0MeV,F10_7,speed_km_s,density_protons_cm3,P10_max,група
2017-09-01 12:00:00,4.664166666666667,0.22975,0.17800000000000002,0.08916666666666667,0.0716,0.036325,7482.5,73.20833333333333,93.0,618.0,2.3,0.309,тиха
2017-09-01 13:00:00,92.3,0.259,0.18175,0.0921,0.07029166666666666,0.04066666666666666,27100.0,580.3333333333334,93.0,620.0,2.2,0.322,тиха
2017-09-01 14:00:00,13.2675,0.24133333333333332,0.16641666666666666,0.08396666666666668,0.064225,0.03306666666666667,43533.333333333336,1334.1666666666667,93.0,617.0,2.5,0.289,тиха
2017-09-01 15:00:00,9.836666666666666,0.23324999999999999,0.16008333333333333,0.07635833333333333,0.060125000000000005,0.032933333333333335,53525.0,1819.1666666666667,93.0,659.0,2.1,0.309,тиха
2017-09-01 16:00:00,15.475000000000001,0.25333333333333335,0.19883333333333333,0.09131666666666667,0.07095,0.04095,62133.333333333336,2459.1666666666665,93.0,614.0,2.3,0.355,тиха
2017-09-01 17:00:00,14.208333333333334,0.24858333333333335,0.21008333333333332,0.118775,0.09079999999999999,0.041291666666666664,69883.33333333333,2957.5,93.0,642.0,2.2,0.354,тиха
2017-09-01 18:00:00,27.933333333333334,0.27925,0.19016666666666668,0.105375,0.08833333333333333,0.046033333333333336,83075.0,4348.333333333333,93.0,668.0,1.9,0.348,тиха
2017-09-01 19:00:00,24.400000000000002,0.2175,0.17408333333333334,0.08009999999999999,0.05975,0.027875,85150.0,4582.5,93.0,641.0,2.1,0.309,тиха
2017-09-01 20:00:00,33.94166666666667,0.2515,0.16674999999999998,0.10049999999999999,0.07975833333333333,0.046724999999999996,86125.0,4558.333333333333,93.0,640.0,1.9,0.206,тиха
2017-09-01 21:00:00,22.125,0.26016666666666666,0.16716666666666669,0.080175,0.06405833333333333,0.03355,76633.33333333333,3594.1666666666665,93.0,616.0,2.6,0.277,тиха
